date,team,acquired,relinquished,notes
2016-10-15,76ers,,Hollis Thompson,illness (DTD)
2016-10-21,76ers,,Nerlens Noel,surgery on left knee (out indefinitely)
2016-10-24,76ers,,Jerryd Bayless,sore left wrist (out indefinitely)
2016-11-02,76ers,,Joel Embiid,rehab of foot injury (DTD)
2016-11-16,76ers,,Joel Embiid,DNP
2016-11-23,76ers,,Gerald Henderson Jr.,illness (DTD)
2016-11-25,76ers,Gerald Henderson Jr.,,returned to lineup
2016-11-27,76ers,,Jerryd Bayless,sore left wrist (out for season)
2016-12-02,76ers,,Robert Covington,sprained left ankle (DTD)
2016-12-05,76ers,,Jahlil Okafor,gastroenteritis (DTD)
2016-12-15,76ers,,Jerryd Bayless,surgery on left wrist (out for season)
2016-12-23,76ers,,Richaun Holmes,concussion (DTD)
2017-01-16,76ers,,T.J. McConnell,sprained right wrist (DTD)
2017-01-30,76ers,,Joel Embiid,bruised left knee (out for season)
2017-02-24,76ers,,Andrew Bogut,placed on IL for personal reasons
2017-03-24,76ers,,Joel Embiid,surgery on left knee (out for season)
2017-04-12,76ers,,Dario Saric,sore left heel (out for season)
2017-10-25,76ers,,Markelle Fultz,sore right shoulder (DTD)
2017-11-24,76ers,,Ben Simmons,left elbow injury (DTD)
2018-03-29,76ers,,Joel Embiid,fractured left orbital bone (out indefinitely)
2018-12-04,76ers,,Markelle Fultz,thoracic outlet syndrome (out for season)
2019-02-13,76ers,,Joel Embiid,fined $25,000 by NBA
2019-04-21,76ers,,Jimmy Butler,fined $15,000 by NBA
2020-08-06,76ers,,Ben Simmons,dislocated kneecap in left knee (out indefinitely)
2020-08-08,76ers,,Ben Simmons,surgery on left knee (out for season)
2021-01-09,76ers,,Matisse Thybulle,NBA health and safety protocols (DTD)
2021-03-20,76ers,,Ben Simmons,sore left knee (DTD)
2021-10-19,76ers,,Ben Simmons,suspended by team for 1 game
2021-10-22,76ers,,Ben Simmons,personal reasons (out indefinitely)
2021-11-01,76ers,,Tobias Harris,NBA health and safety protocols (DTD)
2021-11-20,76ers,,Ben Simmons,fined by team (non-cooperation)
2021-12-19,76ers,Grant Riller,,returned to lineup
2021-12-20,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2021-12-22,76ers,Tyrese Maxey,,returned to lineup
2021-12-23,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2021-12-26,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2021-12-28,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2021-12-30,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2022-01-03,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2022-01-05,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2022-01-07,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2022-01-10,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2022-01-12,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2022-01-14,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2022-01-15,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2022-01-17,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2022-01-19,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2022-01-21,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2022-01-23,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2022-01-25,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2022-01-27,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2022-01-29,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2022-01-31,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2022-02-02,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2022-02-02,76ers,,Seth Curry,back spasms (DTD)
2022-02-04,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2022-02-04,76ers,Seth Curry,,returned to lineup
2022-02-06,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2022-02-06,76ers,,Matisse Thybulle,sore right shoulder (DTD)
2022-02-08,76ers,,Ben Simmons,fined $360,305 by team (non-cooperation)
2022-02-08,76ers,Matisse Thybulle,,returned to lineup
2022-02-14,76ers,Paul Millsap,,activated from IL
2022-02-17,76ers,,Jaden Springer,sore left knee (DTD)
2022-03-04,76ers,,DeAndre Jordan,not with team (DTD)
2022-03-05,76ers,DeAndre Jordan,,returned to lineup
2022-03-07,76ers,,Paul Millsap,placed on IL for personal reasons
2022-03-09,76ers,Paul Millsap,,activated from IL
2022-04-07,76ers,,Matisse Thybulle,fined $31,006 (COVID-19 protocols)
2022-04-09,76ers,,Georges Niang,left knee injury (DTD)
2022-04-09,76ers,,Charles Bassey,right shoulder injury (DTD)
2022-04-10,76ers,,Joel Embiid,sore right knee (DTD)
2022-04-15,76ers,Joel Embiid,,returned to lineup
2022-04-25,76ers,,Joel Embiid,fined $15,000 by NBA
2022-11-02,76ers,,De'Anthony Melton,lower back injury (DTD)
2022-11-04,76ers,De'Anthony Melton,,returned to lineup
2022-11-13,76ers,,Furkan Korkmaz,left knee injury (DTD)
2022-11-18,76ers,,Tobias Harris,left hip injury (DTD)
2022-11-22,76ers,,Jaden Springer,right quadriceps injury (DTD)
2022-11-22,76ers,Tobias Harris,,returned to lineup
2022-11-23,76ers,,Matisse Thybulle,left ankle injury (DTD)
2022-12-11,76ers,,Danuel House Jr.,left foot injury
2022-12-16,76ers,Danuel House Jr.,,returned to lineup
2023-01-21,76ers,,Joel Embiid,left foot injury (DTD)
2023-01-25,76ers,Joel Embiid,,returned to lineup
2023-01-25,76ers,,Jaden Springer,illness (DTD)
2023-01-27,76ers,,Joel Embiid,fined $25,000 by NBA
2023-02-13,76ers,,Furkan Korkmaz,placed on IL for personal reasons
2023-02-22,76ers,Furkan Korkmaz,,activated from IL
2023-03-06,76ers,,P.J. Tucker,back spasms (DTD)
2023-03-06,76ers,,Tobias Harris,left calf injury (DTD)
2023-03-07,76ers,,James Harden,sore left foot (DTD)
2023-03-07,76ers,P.J. Tucker,,returned to lineup
2023-03-07,76ers,Tobias Harris,,returned to lineup
2023-03-09,76ers,James Harden,,returned to lineup
2023-03-24,76ers,,Danuel House Jr.,sore right shoulder (DTD)
2023-03-27,76ers,Danuel House Jr.,,returned to lineup
2023-04-20,76ers,,Danuel House Jr.,illness (DTD)
2023-04-20,76ers,,James Harden,fined $2,000
2023-08-02,76ers,,Montrezl Harrell,torn ACL (out indefinitely)
2023-08-22,76ers,,James Harden,fined $100,000 by NBA
2023-10-31,76ers,,Joel Embiid,fined $35,000 by NBA
2023-11-02,76ers,,Nicolas Batum,placed on IL for personal reasons
2023-11-06,76ers,Nicolas Batum,,activated from IL
2023-11-13,76ers,,Nicolas Batum,placed on IL for personal reasons
2023-11-18,76ers,Nicolas Batum,,returned to lineup
2023-11-29,76ers,,Joel Embiid,illness (DTD)
2023-12-01,76ers,,Nicolas Batum,right finger injury (DTD)
2023-12-01,76ers,,Tyrese Maxey,illness (DTD)
2023-12-04,76ers,Tyrese Maxey,,returned to lineup
2023-12-05,76ers,Nicolas Batum,,returned to lineup
2023-12-22,76ers,,De'Anthony Melton,bruised left thigh (DTD)
2023-12-22,76ers,,Patrick Beverley,sore right heel (DTD)
2023-12-24,76ers,De'Anthony Melton,,returned to lineup
2023-12-25,76ers,Patrick Beverley,,returned to lineup
2024-01-06,76ers,,Joel Embiid,left knee injury (DTD)
2024-01-12,76ers,,Kelly Oubre Jr.,right big toe injury (DTD)
2024-01-14,76ers,Kelly Oubre Jr.,,returned to lineup
2024-01-16,76ers,,Danuel House Jr.,lumbar spine injury (DTD)
2024-01-18,76ers,Danuel House Jr.,,returned to lineup
2024-01-24,76ers,,Kenneth Lofton Jr.,placed on IL for personal reasons
2024-01-25,76ers,,Tobias Harris,illness (DTD)
2024-01-27,76ers,,Joel Embiid,sore left knee (DTD)
2024-01-30,76ers,,Marcus Morris,plantar fasciitis (DTD)
2024-02-01,76ers,,Joel Embiid,surgery on left knee (out indefinitely)
2024-02-05,76ers,Tobias Harris,,returned to lineup
2024-02-06,76ers,Kenneth Lofton Jr.,,activated from IL
2024-02-07,76ers,,Danuel House Jr.,sore right foot (DTD)
2024-02-07,76ers,,Marcus Morris,plantar fasciitis (DTD)
2024-03-01,76ers,,Kelly Oubre Jr.,sore right shoulder (DTD)
2024-03-03,76ers,,Cameron Payne,illness (DTD)
2024-03-03,76ers,Kelly Oubre Jr.,,returned to lineup
2024-03-05,76ers,Cameron Payne,,returned to lineup
2024-03-08,76ers,,Nicolas Batum,sore left foot (DTD)
2024-03-09,76ers,Nicolas Batum,,returned to lineup
2024-03-17,76ers,,Kai Jones,strained right hamstring (DTD)
2024-03-25,76ers,,Kelly Oubre Jr.,sore left shoulder (DTD)
2024-03-25,76ers,Kai Jones,,returned to lineup
2024-03-27,76ers,Kelly Oubre Jr.,,returned to lineup
2024-03-29,76ers,,Kelly Oubre Jr.,fined $50,000 by NBA
2024-03-29,76ers,,Nick Nurse,fined $50,000 by NBA
2024-03-31,76ers,,Tyrese Maxey,left hip injury (DTD)
2024-04-04,76ers,,Tobias Harris,bruised left knee (DTD)
2024-04-04,76ers,Tyrese Maxey,,returned to lineup
2024-04-04,76ers,,Mo Bamba,illness (DTD)
2024-04-07,76ers,Mo Bamba,,returned to lineup
2024-04-09,76ers,,Kenyon Martin Jr.,bruised left toe (out for season)
2024-04-14,76ers,,De'Anthony Melton,back injury (DTD)
2024-04-14,76ers,,Joel Embiid,left knee injury (out for season)
2024-10-15,76ers,,Paul George,knee injury (out indefinitely)
2024-11-05,76ers,,Joel Embiid,suspended by NBA (3 games)
2024-11-10,76ers,Joel Embiid,,reinstated from suspension
2024-12-14,76ers,,Jared McCain,surgery on left knee (out for season)
2024-12-15,76ers,Kyle Lowry,,returned to lineup
2025-01-01,76ers,,Kelly Oubre Jr.,sprained left hand (DTD)
2025-01-01,76ers,Kyle Lowry,,returned to lineup
2025-01-06,76ers,,Andre Drummond,sprained left toe (DTD)
2025-01-06,76ers,,Joel Embiid,sprained left foot (DTD)
2025-01-10,76ers,Paul George,,returned to lineup
2025-02-05,76ers,Eric Gordon,,returned to lineup
2025-02-24,76ers,,Joel Embiid,left knee injury (out for season)
2025-03-14,76ers,,Andre Drummond,toe injury (out indefinitely)
2025-04-09,76ers,,Joel Embiid,arthroscopic surgery on left knee (out for season)
2025-07-14,76ers,,Paul George,arthroscopic knee surgery (out indefinitely)
2025-11-02,76ers,,Joel Embiid,fined $50,000 by NBA
2025-11-16,76ers,,Kelly Oubre Jr.,sprained knee ligament (out indefinitely)
2025-12-27,76ers,,Joel Embiid,ankle injury (DTD)
